"SUBJECT"	"SUBJECT_EFFDT"	"SUBJECT_EFF_STATUS"	"SUBJECT_DESCR"	"SUBJECT_DESCRSHORT"	"DEPTID"	"DEPT_DESCRSHORT"	"DEPT_DESCRFORMAL"	"CIP_CODE"	"CIP_DESCR"	"CIP_DESCR254"	"HEGIS_CODE"	"HEGIS_DESCR"	"HEGIS_DESCR60"
"CONDUCT"	01-JAN-01	"A"	"Conducting"	"Conduct"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0906"	"Conducting"	"Conducting"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"CORNETTO"	01-JAN-01	"A"	"Cornetto"	"Cornetto"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"CRLLNLIT"	01-JAN-01	"A"	"Carillon Literature"	"Crlln Lit"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0902"	"Music History, Literature, and"	"Music History, Literature, and Theory"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"CRUMHORN"	01-JAN-01	"A"	"Crumhorn"	"Crumhorn"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"CS"	01-MAY-01	"I"	"Corporate Strategy"	"Corp Strt"	"380000"	"BUS AD"	"School of Business Administration"	"52.0201"	"Business Administration and Ma"	"Business Administration and Management, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"CSIB"	01-JAN-01	"A"	"Corp Strategy & Internat Bus"	"C S & I B"	"380000"	"BUS AD"	"School of Business Administration"	"52.0201"	"Business Administration and Ma"	"Business Administration and Management, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"CSP"	01-JAN-01	"A"	"Comprehensive Studies Program"	"CSP"	"191200"	"Comprehens"	"Comprehensive Studies Program"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"49.00"	"INTERDISC UNCLASSIFIED"	"INTERDISC UNCLASSIFIED"
"CSS"	29-APR-08	"I"	"Community and Social Systems"	"Com & SS"	"465000"	"SOC WK"	"School Of Social Work"	"44.0201"	"Community Organization and Adv"	"Community Organization and Advocacy"	"21.04"	"SOCIAL WORK & HELPNG SER"	"SOCIAL WORK & HELPNG SER"
"CTENGED"	01-JAN-01	"A"	"Continuing Engin Educ"	"Ct Eng Ed"	"214000"	"Center For"	"Center For Professional Develo"	"14.9999"	"Engineering, Other"	"Engineering, Other"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"CZECH"	01-JAN-01	"A"	"Czech"	"Czech"	"187000"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"16.0406"	"Czech Language and Literature"	"Czech Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"DACCTG"	02-MAY-00	"I"	"Accounting - Dearborn"	"DACCTG"	"517500"	"Registrar"	"Registrar's Office"	"52.0301"	"Accounting"	"Accounting"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"DANCE"	01-JAN-01	"A"	"Dance"	"Dance"	"431500"	"Department"	"Department Of Dance"	"50.0301"	"Dance, General"	"Dance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"DANTHR"	15-MAY-00	"I"	"Anthropology - Dearborn"	"DANTHR"	"517500"	"Registrar"	"Registrar's Office"	"45.0201"	"Anthropology"	"Anthropology"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"DANTHRO"	15-MAY-00	"I"	"Anthropology - Dearborn"	"DANTHRO"	"517500"	"Registrar"	"Registrar's Office"	"45.0201"	"Anthropology"	"Anthropology"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"DART"	02-MAY-00	"I"	"Art - Dearborn"	"DART"	"517500"	"Registrar"	"Registrar's Office"	"50.0799"	"Fine Arts and Art Studies, Oth"	"Fine Arts and Art Studies, Other"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"DAUTOENG"	02-MAY-00	"I"	"Automotive Engin - Dearborn"	"DAUTOEN"	"517500"	"Registrar"	"Registrar's Office"	"14.9999"	"Engineering, Other"	"Engineering, Other"	"09.09"	"ELECTRICAL-COMMUNICA ENG"	"ELECTRICAL-COMMUNICA ENG"
"DBIOL"	02-MAY-00	"I"	"Biology - Dearborn"	"DBIOL"	"517500"	"Registrar"	"Registrar's Office"	"26.9999"	"Biological and Biomedical Scie"	"Biological and Biomedical Sciences, Other"	"04.00"	"BIOLOGICAL SCI UNCLASSFD"	"BIOLOGICAL SCI UNCLASSFD"
"DBLBASS"	01-JAN-01	"A"	"Double Bass"	"Doub Bass"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0911"	"Violin, Viola, Guitar and Othe"	"Violin, Viola, Guitar and Other Stringed Instruments"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"DBUSAD"	02-MAY-00	"I"	"Business Adminis - Dearborn"	"DBUSAD"	"517500"	"Registrar"	"Registrar's Office"	"52.9999"	"Business, Management, Marketin"	"Business, Management, Marketing, and Related Support Services, Other"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"DBUSECON"	02-MAY-00	"I"	"Business Economics - Dearborn"	"DBUSECO"	"517500"	"Registrar"	"Registrar's Office"	"52.9999"	"Business, Management, Marketin"	"Business, Management, Marketing, and Related Support Services, Other"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"DCOMM"	02-MAY-00	"I"	"Communication - Dearborn"	"DCOMM"	"517500"	"Registrar"	"Registrar's Office"	"09.0101"	"Communication Studies/Speech C"	"Communication Studies/Speech Communication and Rhetoric"	"06.99"	"OTHER, COMMUNICATIONS"	"OTHER, COMMUNICATIONS"
"DCOMPMAT"	15-MAY-00	"I"	"Comput & Comp Math - Dearborn"	"DCOMPMA"	"517500"	"Registrar"	"Registrar's Office"	"27.0101"	"Mathematics, General"	"Mathematics, General"	"17.00"	"MATHEMATICS UNCLASSIFIED"	"MATHEMATICS UNCLASSIFIED"
"DCPTINFO"	02-MAY-00	"I"	"Computer Science - Dearborn"	"DCPTINFO"	"517500"	"Registrar"	"Registrar's Office"	"11.0101"	"Computer and Information Scien"	"Computer and Information Sciences, General"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"
"DEDA"	02-MAY-00	"I"	"Education A - Dearborn"	"DEDA"	"517500"	"Registrar"	"Registrar's Office"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"DEDB"	02-MAY-00	"I"	"Education B - Dearborn"	"DEDB"	"517500"	"Registrar"	"Registrar's Office"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"DEDC"	02-MAY-00	"I"	"Education C - Dearborn"	"DEDC"	"517500"	"Registrar"	"Registrar's Office"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"DEDD"	02-MAY-00	"I"	"Education D - Dearborn"	"DEDD"	"517500"	"Registrar"	"Registrar's Office"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"DEDK"	02-MAY-00	"I"	"Education K - Dearborn"	"DEDK"	"517500"	"Registrar"	"Registrar's Office"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"DEDN"	02-MAY-00	"I"	"Education N - Dearborn"	"DEDN"	"517500"	"Registrar"	"Registrar's Office"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"DELCOMP"	02-MAY-00	"I"	"Electric & Comp Eng - Dearborn"	"DELCOMP"	"517500"	"Registrar"	"Registrar's Office"	"14.1001"	"Electrical, Electronics and Co"	"Electrical, Electronics and Communi-cations Engineering"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"DEM"	02-MAY-00	"I"	"Engineering Management - Dearb"	"DEM"	"517500"	"Registrar"	"Registrar's Office"	"15.1501"	"Engineering/Industrial Managem"	"Engineering/Industrial Management"	"09.01"	"ENGINEERING- GENERAL"	"ENGINEERING- GENERAL"
"DENGIN"	02-MAY-00	"I"	"Engineering - Dearborn"	"DENGIN"	"517500"	"Registrar"	"Registrar's Office"	"14.0101"	"Engineering, General"	"Engineering, General"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"DENT"	01-JAN-01	"A"	"Dentistry"	"Dent"	"390000"	"DENT"	"School Of Dentistry"	"51.0401"	"Dentistry (DDS, DMD)"	"Dentistry (DDS, DMD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"DENTED"	01-JAN-01	"A"	"Dental Education"	"Dent Ed"	"390000"	"DENT"	"School Of Dentistry"	"51.0501"	"Dental Clinical Sciences, Gene"	"Dental Clinical Sciences, General (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"DENTHYG"	01-JAN-01	"A"	"Dental Hygiene"	"Dent Hyg"	"393500"	"Dental Hyg"	"Dental Hygiene-Dentistry"	"51.0602"	"Dental Hygiene/Hygienist"	"Dental Hygiene/Hygienist"	"61.00"	"DENTISTRY"	"DENTISTRY"
"DENTMAT"	01-JAN-01	"A"	"Dental Materials"	"Dent Mat"	"390000"	"DENT"	"School Of Dentistry"	"51.0501"	"Dental Clinical Sciences, Gene"	"Dental Clinical Sciences, General (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"DENTPH"	01-JAN-01	"A"	"Dental Public Health"	"Dent P H"	"455000"	"PUB HL"	"School Of Public Health"	"51.0504"	"Dental Public Health and Educa"	"Dental Public Health and Education (Cert, MS/MPH, PhD/DPH)"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"DENTPROS"	01-JAN-01	"A"	"Dental Prosthesis"	"Dent Pros"	"390000"	"DENT"	"School Of Dentistry"	"51.0501"	"Dental Clinical Sciences, Gene"	"Dental Clinical Sciences, General (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"DENTTHER"	01-JAN-01	"A"	"Dent Pharmacology & Therapeut"	"Dent Ther"	"390000"	"DENT"	"School Of Dentistry"	"51.0501"	"Dental Clinical Sciences, Gene"	"Dental Clinical Sciences, General (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"DENVSC"	02-MAY-00	"I"	"Environment Science - Dearborn"	"DENVSC"	"517500"	"Registrar"	"Registrar's Office"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"19.00"	"PHYSICAL SCI UNCLASSIFD"	"PHYSICAL SCI UNCLASSIFD"
"DERM"	01-JAN-01	"A"	"Dermatology"	"Derm"	"235000"	"Dermatolog"	"Dermatology Department"	"60.0213"	"Dermatology"	"Dermatology"	"60.00"	"MEDICINE"	"MEDICINE"
"DESCI"	01-JAN-01	"A"	"Design Science"	"Des Sci"	"227100"	"Design Sci"	"Design Science Program"	"14.9999"	"Engineering, Other"	"Engineering, Other"	"09.99"	"ENGINEERING OTHER"	"ENGINEERING OTHER"
"DEXPL"	02-MAY-00	"I"	"Exploratory Studies - Dearborn"	"DEXPL"	"517500"	"Registrar"	"Registrar's Office"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"DFINANCE"	02-MAY-00	"I"	"Finance - Dearborn"	"DFINANCE"	"517500"	"Registrar"	"Registrar's Office"	"52.9999"	"Business, Management, Marketin"	"Business, Management, Marketing, and Related Support Services, Other"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"DFORLANG"	02-MAY-00	"I"	"Foreign Language - Dearborn"	"DFORLAN"	"517500"	"Registrar"	"Registrar's Office"	"16.9999"	"Foreign Languages, Literatures"	"Foreign Languages, Literatures, and Linguistics, Other"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"DHIST"	02-MAY-00	"I"	"History - Dearborn"	"DHIST"	"517500"	"Registrar"	"Registrar's Office"	"54.0101"	"History, General"	"History, General"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"DHISTART"	02-MAY-00	"I"	"History of Art - Dearborn"	"DHISTART"	"517500"	"Registrar"	"Registrar's Office"	"50.0703"	"Art History, Criticism and Con"	"Art History, Criticism and Conservation"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"DHUM"	02-MAY-00	"I"	"Humanities - Dearborn"	"DHUM"	"517500"	"Registrar"	"Registrar's Office"	"24.0103"	"Humanities/Humanistic Studies"	"Humanities/Humanistic Studies"	"15.99"	"OTHER, LETTERS"	"OTHER, LETTERS"
"DHYGRACK"	01-JAN-01	"A"	"Dental Hygiene"	"Dent Hyg"	"390000"	"DENT"	"School Of Dentistry"	"51.0602"	"Dental Hygiene/Hygienist"	"Dental Hygiene/Hygienist"	"61.00"	"DENTISTRY"	"DENTISTRY"
"DINTRDIS"	02-MAY-00	"I"	"Interdis Studies - Dearborn"	"DINTRDIS"	"517500"	"Registrar"	"Registrar's Office"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"49.00"	"INTERDISC UNCLASSIFIED"	"INTERDISC UNCLASSIFIED"
"DISE"	02-MAY-00	"I"	"Industrial & Sys Eng - Dearbor"	"DISE"	"517500"	"Registrar"	"Registrar's Office"	"14.1701"	" "	" "	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"DJOURN"	02-MAY-00	"I"	"Journalism - Dearborn"	"DJOURN"	"517500"	"Registrar"	"Registrar's Office"	"09.0401"	"Journalism"	"Journalism"	"06.00"	"COMMUNICATIONS UNCLASSFD"	"COMMUNICATIONS UNCLASSFD"
"DLIBLSTD"	02-MAY-00	"I"	"Liberal Studies - Dearborn"	"DLIBLSTD"	"517500"	"Registrar"	"Registrar's Office"	"24.0101"	"Liberal Arts and Sciences/Libe"	"Liberal Arts and Sciences/Liberal Studies"	"49.01"	"GENERAL LIBERAL ARTS&SCI"	"GENERAL LIBERAL ARTS&SCI"
"DMATH"	02-MAY-00	"I"	"Mathematics - Dearborn"	"DMATH"	"517500"	"Registrar"	"Registrar's Office"	"27.0101"	"Mathematics, General"	"Mathematics, General"	"17.00"	"MATHEMATICS UNCLASSIFIED"	"MATHEMATICS UNCLASSIFIED"
"DMECHENG"	02-MAY-00	"I"	"Mechanical Engineering - Dearb"	"DMECHE"	"517500"	"Registrar"	"Registrar's Office"	"14.1101"	"Engineering Mechanics"	"Engineering Mechanics"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"DMGT"	02-MAY-00	"I"	"Management - Dearborn"	"DMGT"	"517500"	"Registrar"	"Registrar's Office"	"52.0101"	"Business/Commerce, General"	"Business/Commerce, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"DMIS"	02-MAY-00	"I"	"Manage Info Systems - Dearborn"	"DMIS"	"517500"	"Registrar"	"Registrar's Office"	"11.0401"	"Information Science/Studies"	"Information Science/Studies"	"07.02"	"INFO SCIENCE & SYSTEMS"	"INFO SCIENCE & SYSTEMS"
"DMKTG"	02-MAY-00	"I"	"Marketing - Dearborn"	"DMKTG"	"517500"	"Registrar"	"Registrar's Office"	"52.1401"	"Marketing/Marketing Management"	"Marketing/Marketing Management, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"DMUSTHY"	02-MAY-00	"I"	"Music Theory - Dearborn"	"DMUSTHY"	"517500"	"Registrar"	"Registrar's Office"	"50.0904"	"Music Theory and Composition"	"Music Theory and Composition"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"DNATSCI"	02-MAY-00	"I"	"Natural Science - Dearborn"	"DNATSCI"	"517500"	"Registrar"	"Registrar's Office"	"40.9999"	"Physical Sciences, Other"	"Physical Sciences, Other"	"01.00"	"AGRICULTURE UNCLASSIFIED"	"AGRICULTURE UNCLASSIFIED"
"DOC"	29-APR-08	"I"	"Doctoral"	"Doctoral"	"465000"	"SOC WK"	"School Of Social Work"	"44.0799"	"Social Work, Other"	"Social Work, Other"	"21.00"	"PUBLIC AFFAIRS UNCLASSFD"	"PUBLIC AFFAIRS UNCLASSFD"
"DOPERMGT"	02-MAY-00	"I"	"Operations Management - Dearbo"	"DOPERMG"	"517500"	"Registrar"	"Registrar's Office"	"52.0101"	"Business/Commerce, General"	"Business/Commerce, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"DPHIL"	02-MAY-00	"I"	"Philosophy - Dearborn"	"DPHIL"	"517500"	"Registrar"	"Registrar's Office"	"38.0101"	"Philosophy"	"Philosophy"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"DPHYSICS"	02-MAY-00	"I"	"Physics - Dearborn"	"DPHYSICS"	"517500"	"Registrar"	"Registrar's Office"	"40.0801"	"Physics, General"	"Physics, General"	"19.00"	"PHYSICAL SCI UNCLASSIFD"	"PHYSICAL SCI UNCLASSIFD"
"DPOLSCI"	02-MAY-00	"I"	"Political Science - Dearborn"	"DPOLSCI"	"517500"	"Registrar"	"Registrar's Office"	"45.1001"	"Political Science and Governme"	"Political Science and Government, General"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"DPROFED"	02-MAY-00	"I"	"Professional Education - Dearb"	"DPROFED"	"517500"	"Registrar"	"Registrar's Office"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"DPSYCH"	15-MAY-00	"I"	"Psychology - Dearborn"	"DPSYCH"	"517500"	"Registrar"	"Registrar's Office"	"42.0101"	"Psychology, General"	"Psychology, General"	"20.00"	"PSYCHOLOGY UNCLASSIFIED"	"PSYCHOLOGY UNCLASSIFIED"
"DPUBADM"	02-MAY-00	"I"	"Public Adminis - Dearborn"	"DPUBADM"	"517500"	"Registrar"	"Registrar's Office"	"44.0401"	"Public Administration"	"Public Administration"	"21.02"	"PUBLIC ADMINISTRATION"	"PUBLIC ADMINISTRATION"
"DSOC"	02-MAY-00	"I"	"Sociology - Dearborn"	"DSOC"	"517500"	"Registrar"	"Registrar's Office"	"45.1101"	"Sociology"	"Sociology"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"DSOCSCI"	02-MAY-00	"I"	"Social Science - Dearborn"	"DSOCSCI"	"517500"	"Registrar"	"Registrar's Office"	"45.0101"	"Social Sciences, General"	"Social Sciences, General"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"DSPEECH"	02-MAY-00	"I"	"Speech - Dearborn"	"DSPEECH"	"517500"	"Registrar"	"Registrar's Office"	"23.1001"	"Speech and Rhetorical Studies"	"Speech and Rhetorical Studies"	"06.99"	"OTHER, COMMUNICATIONS"	"OTHER, COMMUNICATIONS"
"DSTAT"	02-MAY-00	"I"	"Statistics - Dearborn"	"DSTAT"	"517500"	"Registrar"	"Registrar's Office"	"27.0501"	"Statistics, General"	"Statistics, General"	"17.02"	"STATISTICS"	"STATISTICS"
"DUTCH"	01-JAN-01	"A"	"Dutch"	"Dutch"	"178000"	"Germanic L"	"Germanic Languages & Lit Dept"	"16.0504"	"Dutch/Flemish Language and Lit"	"Dutch/Flemish Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"EARLYMUS"	01-JAN-01	"A"	"Early Music"	"Early Mus"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"EARTH"	01-JAN-01	"A"	"Earth & Environmental Sciences"	"E & ES"	"177000"	"Earth & En"	"Earth and Environmental Sciences"	"40.0601"	"Geology/Earth Science, General"	"Geology/Earth Science, General"	"19.00"	"PHYSICAL SCI UNCLASSIFD"	"PHYSICAL SCI UNCLASSIFD"
"ECB"	02-SEP-02	"I"	"Sweetland Writing Center"	"SWC"	"175500"	"ELandL"	"English Language & Literature Dept"	"23.9999"	"English Language and Literatur"	"English Language and Literature/Letters, Other"	"15.99"	"OTHER, LETTERS"	"OTHER, LETTERS"
"ECON"	01-JAN-01	"A"	"Economics"	"Econ"	"175000"	"Economics"	"Economics Department"	"45.0601"	"Economics, General"	"Economics, General"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"EDADMIN"	01-JAN-01	"A"	"Educ B Admin & Supervision"	"Ed B"	"405000"	"EDUC"	"School Of Education"	"13.0401"	"Educational Leadership and Adm"	"Educational Leadership and Administration, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDBEHAVR"	12-NOV-10	"A"	"Educ C Behavior Sci In Educ"	"Ed C"	"405000"	"EDUC"	"School Of Education"	"42.2806"	"Educational Psychology."	"Educational Psychology."	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDCOMMDV"	01-JAN-01	"A"	"Educ M Educ & Community Devel"	"Ed M"	"405000"	"EDUC"	"School Of Education"	"13.0403"	"Adult and Continuing Education"	"Adult and Continuing Education Administration"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDCONT"	01-JAN-01	"A"	"Educ H Cont Educ&Community Dev"	"Ed H"	"405000"	"EDUC"	"School Of Education"	"13.0403"	"Adult and Continuing Education"	"Adult and Continuing Education Administration"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDCURINS"	01-JAN-01	"A"	"Education D Curriculum & Instr"	"Ed D"	"405000"	"EDUC"	"School Of Education"	"13.0301"	"Curriculum and Instruction"	"Curriculum and Instruction"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDGUID"	01-JAN-01	"A"	"Educ J Guidance & Counseling"	"Ed J"	"405000"	"EDUC"	"School Of Education"	"13.1101"	"Counselor Education/School Cou"	"Counselor Education/School Counseling and Guidance Services"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDHIGHER"	01-JAN-01	"A"	"Education G Higher Education"	"Ed G"	"405000"	"EDUC"	"School Of Education"	"13.0406"	"Higher Education/Higher Educat"	"Higher Education/Higher Education Administration"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDINDSTD"	01-JAN-01	"A"	"Educ K Ind Study,Res,Field Exp"	"Ed K"	"405000"	"EDUC"	"School Of Education"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDOCCUP"	01-JAN-01	"A"	"Educ E Occupational Educ"	"Ed E"	"405000"	"EDUC"	"School Of Education"	"13.1319"	"Technical Teacher Education"	"Technical Teacher Education"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDPHYS"	01-JAN-01	"A"	"Education F Physical Education"	"Ed F"	"405000"	"EDUC"	"School Of Education"	"13.1314"	"Physical Education Teaching an"	"Physical Education Teaching and Coaching"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDPROF"	01-JAN-01	"A"	"Educ P Prof Development"	"Ed P"	"405000"	"EDUC"	"School Of Education"	"13.0499"	"Educational Administration and"	"Educational Administration and Supervision, Other"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDSOCIAL"	01-JAN-01	"A"	"Education A Social Foundations"	"Ed A"	"405000"	"EDUC"	"School Of Education"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDSOCPSY"	01-JAN-01	"A"	"Educ L Social Psych Foundation"	"Ed L"	"405000"	"EDUC"	"School Of Education"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDSPCHR"	01-JAN-01	"A"	"Educ S Speech & Hearing Sci"	"Ed S"	"405000"	"EDUC"	"School Of Education"	"13.1003"	"Education/Teaching of Individu"	"Education/Teaching of Individuals with Hearing Impairments,  Including Deafness"	"08.99"	"OTHER, EDUCATION"	"OTHER, EDUCATION"
"EDSPCL"	01-JAN-01	"A"	"Education N Special Education"	"Ed N"	"405000"	"EDUC"	"School Of Education"	"13.1001"	"Special Education and Teaching"	"Special Education and Teaching, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EDUC"	01-JAN-01	"A"	"Education"	"Ed"	"405000"	"EDUC"	"School Of Education"	"13.0101"	"Education, General"	"Education, General"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"EEB"	01-JAN-01	"A"	"Ecology & Evolutionary Biology"	"EEB"	"189100"	"Ecol & Ev"	"Ecology & Evolutionary Biology"	"26.1310"	"Ecology and Evolutionary Biolo"	"Ecology and Evolutionary Biology."	"04.00"	"BIOLOGICAL SCI UNCLASSFD"	"BIOLOGICAL SCI UNCLASSFD"
"EECS"	01-JAN-01	"A"	"Elec Engin & Computer Sci"	"EECS"	"216000"	"Electrical"	"Electrical Engr & Computer Sci"	"14.1001"	"Electrical, Electronics and Co"	"Electrical, Electronics and Communi-cations Engineering"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"EHS"	01-JAN-01	"A"	"Environmental Health Sciences"	"EHS"	"457500"	"Environmen"	"Environmental Health Sciences"	"51.2202"	"Environmental Health"	"Environmental Health"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"EIHLTH"	01-JAN-01	"A"	"Environ & Industrial Health"	"E I Hlth"	"457500"	"Environmen"	"Environmental Health Sciences"	"51.2202"	"Environmental Health"	"Environmental Health"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"ELI"	01-JAN-01	"A"	"English Language Institute"	"Eng Lng I"	"181500"	"ELI"	"English Language Institute"	"13.1401"	"Teaching English as a Second o"	"Teaching English as a Second or Foreign Language/ESL Language Instructor"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
